# submitted_item	validated_id	current_symbol
Q8IGI4	FBgn0037356	CG12170
Q9VNF3	FBgn0037354	CG12171
Q9VN95	FBgn0037305	CG12173
Q9VYA1	FBgn0030510	CG12177
Q9VNI3	FBgn0037377	CG1218
Q9VWI0	FBgn0031021	ND-18
A8JQY2	FBgn0260742	CG12213
Q9VWF0	FBgn0031048	CG12237
Q8MQY2	FBgn0035026	Fcp1
Q9VF83	FBgn0051301	CG31301
Q9VAY7	FBgn0039557	CG12259
Q9VSA3	FBgn0035811	Mcad
A1ZB84	FBgn0034346	PIG-O
Q9VKD3	FBgn0032393	Nfs1
Q9VG60	FBgn0038057	CG12267
Q9VI84	FBgn0037491	CG1227
Q9VUY8	FBgn0036571	Strump
Q9VG33	FBgn0038080	CG12279
Q8MSG1	FBgn0032620	CG12288
Q9VUR2	FBgn0036514	CG12301
Q9VUR3	FBgn0036515	AIMP2
Q86P44	FBgn0038590	CG12320
Q9VEC2	FBgn0038577	CG12321
Q5U0X8	FBgn0033557	CG12325
Q9VI82	FBgn0037489	CG1234
Q8I725	FBgn0037370	CG1236
Q9VG01	FBgn0283438	CG46280
Q9VLS9	FBgn0031987	CG12375
Q7JRC0	FBgn0033624	CG12384
Q9VNH1	FBgn0037368	CG1239
Q7K4G8	FBgn0033581	CG12391
B7Z022	unknown ID	-
Q9VY02	FBgn0030596	CG12398
Q9VZY0	FBgn0035370	Non2
Q9VQM2	FBgn0031505	ND-B14.5B
Q9VK46	FBgn0032465	Yip1d1
Q8MS23	FBgn0039588	mIF2
Q8SWX9	FBgn0039543	CROT
Q0E8J0	FBgn0035357	MEP-1
Q7PLU6	unknown ID	-
Q9VD07	FBgn0038968	CG12499
Q9VMR6	FBgn0031703	CG12512
Q7KUU5	FBgn0031068	Alr
Q9W3U1	FBgn0052732	Setd3
Q9W5T4	FBgn0250830	CG12547
Q9VLU3	FBgn0031974	CG12560
Q95RR1	FBgn0052446	Atox1
Q7PLS1	FBgn0039958	CG12567
Q8IQ25	FBgn0031190	CG12576
Q0KIE6	FBgn0037215	beta-Man
Q9VXW3	FBgn0030630	CG12608
Q9VZF3	FBgn0035517	CG1265
Q9VWC7	FBgn0031070	CG12702
Q9VWC8	FBgn0031069	Pmp70
Q7K3V6	FBgn0033184	mEFTu2
Q5BIH5	unknown ID	-
A1Z9A5	FBgn0033813	fsd
Q8IH00	FBgn0261286	Mat89Ba
Q9VH37	FBgn0037779	CG12811
Q9W114	FBgn0040666	CG12848
Q6IDF5	FBgn0033961	ND-B15
Q9VB09	FBgn0039538	CG12883
Q7K0D3	FBgn0033507	CG12909
Q95SA2	FBgn0035401	Alg2
Q7JXF7	FBgn0263260	sel
Q4QQ34	unknown ID	-
Q7JW07	FBgn0033547	CG12935
Q7JW60	FBgn0033569	CG12942
Q8IGK2	FBgn0037755	CG12945
Q9VP65	FBgn0037061	CG12975
A1Z6H0	FBgn0033032	kune
Q86P13	FBgn0030794	CG13005
Q4V429	FBgn0040751	CG13018
O97067	FBgn0026566	CG1307
Q9VLK0	FBgn0032052	PIG-U
Q9VZF1	FBgn0035519	CG1309
Q8T486	unknown ID	-
Q8T9F1	unknown ID	-
Q9VLK1	FBgn0032051	CG13097
Q9VZE7	FBgn0035523	Ctl1
Q9VLB0	FBgn0032126	CG13113
Q9VL93	FBgn0032140	CG13117
Q9VL60	FBgn0032168	CG13126
Q9VKV4	FBgn0032251	Nse4
Q9VZE4	FBgn0035526	CG1316
Q4V619	FBgn0033712	mIF3
A1Z8U7	FBgn0033693	CG13175
A8DYB0	FBgn0033661	CG13185
Q8SWW2	FBgn0033665	Zip48C
Q8SZA8	FBgn0035529	Fdx2
Q1WWB7	FBgn0033653	CG13192
Q6NP72	FBgn0033608	CG13220
Q8T9J3	FBgn0037016	CG13252
Q8IGS6	FBgn0052250	PMP34
Q9VJI7	FBgn0261068	LSm7
Q9VRV7	FBgn0035692	Sf3b6
Q9VRW1	FBgn0035694	CG13299
Q7JWR4	FBgn0033781	CG13319
Q4V4H7	FBgn0033788	CG13323
Q9V6U8	FBgn0263697	Uba3
A1Z9I6	FBgn0033884	CG13344
B7YZG7	unknown ID	-
B7YZG8	unknown ID	-
Q7K2G1-1	unknown ID	-
Q7K2G1-2	unknown ID	-
Q2XY08	FBgn0033890	Ctf4
Q9XZS3	FBgn0026879	CG13364
Q9W5E7	FBgn0029529	CG13365
Q0KHX7	FBgn0025633	CG13366
A8JUS8	FBgn0029522	CG13373
Q8SXX3	FBgn0032031	CG13390
Q9VLM7	FBgn0032033	CG13392
Q9VLM5	FBgn0263852	Dad1
A1Z6G6	FBgn0027507	CG1344
Q7KTS2	FBgn0037363	Atg17
Q9VUH8	FBgn0036450	Tdrd3
Q9VUC4	FBgn0036406	CG13484
Q8MRS0	FBgn0034786	CG13531
Q8IRM4	unknown ID	-
Q0E8X8	FBgn0040660	CG13551
Q8MLP8	FBgn0034963	Not11
Q7K1D7	FBgn0033196	CG1358
Q9VA95	FBgn0260860	Bet5
Q9VCG0	FBgn0039128	CG13599
Q9VCG3	FBgn0039126	CG13601
Q9VCF1	FBgn0039135	CG13603
Q9VC65	FBgn0039205	CG13623
Q9VC61-2	unknown ID	-
Q9VC48	FBgn0039219	CG13630
Q8MSB1	FBgn0051357	CG31357
Q9VC22	FBgn0039239	CG13641
Q86NX1	unknown ID	-
Q9VBW0	FBgn0039291	CG13663
Q9VPP5	FBgn0031252	CG13690
A1Z843	FBgn0033482	CG1371
A1Z7L1	FBgn0033354	FANCI
Q9VM72	FBgn0042092	CG13773
Q7K1Q7	FBgn0033485	RpLP0-like
Q9VCK2	FBgn0039098	GILT3
Q9VD14	FBgn0038961	CG13850
Q9W5N0-1	unknown ID	-
Q9W0S8	FBgn0035120	wac
Q9W0M4	FBgn0035165	CG13887
Q8MR61	FBgn0035169	Dci
Q8SYC4	FBgn0035146	CG13893
Q8SYS1	FBgn0035160	hng3
Q5BI86	unknown ID	-
Q8SZ57	FBgn0035164	CG13901
Q9W0L7	FBgn0052479	Usp10
Q9W0L6	FBgn0035173	CG13907
Q9W0G7	FBgn0035209	msd1
Q9W0D3	FBgn0035237	CG13917
Q9W0C7	FBgn0035243	CG13926
Q9VXH9	FBgn0030739	SWIP
A1Z734	FBgn0033212	LRR
Q9VMK2	FBgn0031756	CG13992
Q9VMH8	FBgn0031776	Pfdn1
Q7JYN8	FBgn0031772	CG13994
Q9VMU7	FBgn0031677	CG14036
Q9VMX1	FBgn0031659	CG14043
Q9VAW4	unknown ID	-
A1Z833	FBgn0033474	CG1407
Q9VVX6	FBgn0260857	Bet1
Q9VVZ4	FBgn0036870	CG14095
Q9VW14	FBgn0036889	CG14100
Q9VW40	FBgn0036908	TORIP
Q9VTP1	FBgn0036210	CG14130
Q9VTE0	FBgn0036118	Blos2
Q9V9Q4	FBgn0032961	CG1416
Q9VW73	FBgn0036932	CG14184
Q9VW79	FBgn0036938	CG14187
Q9VWH8	FBgn0040890	ksh
Q8IQW5	FBgn0031037	CG14207
Q9VWF8	FBgn0031040	CG14210
Q7JVP2	FBgn0031047	Rcd-1
Q95TR2	unknown ID	-
Q9VWE4	FBgn0031054	Ssu72
Q9VWF5	FBgn0031043	Naa20A
Q9VWD4	FBgn0031062	CG14230
Q9VWD5	FBgn0031061	CG14232
Q8IQW2	FBgn0031066	COX6B
Q9VE11	FBgn0038673	CG14286
Q7KSC4	FBgn0038662	Mpc1
Q9VE34-1	unknown ID	-
Q7K0H3	FBgn0030554	CG1434
Q9VVM7	FBgn0036771	Wdr92
A8JV22	FBgn0030038	CG1440
Q8SXQ5	FBgn0030584	CG14407
Q2XY44	FBgn0030582	CG14411
Q9W3U9	FBgn0029915	CG14434
Q9W3W6	FBgn0287582	sov
Q9W3N1	FBgn0029975	spidey
Q9W3X0	FBgn0029895	CG14441
Q9W427	FBgn0262730	dtn
Q9VNR9	FBgn0037184	CG14450
Q7JWU9	FBgn0034242	CG14480
Q500Y7	FBgn0034245	UQCR-6.4
Q4QPR8	FBgn0034248	CG14483
Q9VAP1	FBgn0039639	Alg13
Q7KRW4	FBgn0039640	CG14516
Q8SXB1	FBgn0039402	Vps2
Q9VBI0	FBgn0039404	CG14543
Q9VBH7	FBgn0039407	CG14544
Q9VAM6	FBgn0062442	Cisd2
Q9VR55	FBgn0031188	CG14613
Q2PDW6	FBgn0031191	Cp110
Q9VR56	FBgn0031189	CG14618
Q95RB1	FBgn0037220	CG14641
Q8T0F7	FBgn0037244	CG14647
Q961F2	FBgn0037252	CG14650
Q9VN30	FBgn0037254	CG14651
Q9VN59	unknown ID	-
Q8T4D5	FBgn0037291	CG14662
Q9VND4	FBgn0037340	CG14671
Q9VGY8	FBgn0037819	CG14688
Q9VGL0	FBgn0037924	CG14712
Q9VGK3	FBgn0037930	CG14715
Q8T4A5	FBgn0037942	CG14721
Q8T088	FBgn0037943	CG14722
Q7KGU6	FBgn0040777	CG14767
O76902	FBgn0025381	rush
Q9W552	FBgn0014411	Vps26
O46084	FBgn0023517	Pgam5
Q9VRG8	FBgn0031174	CG1486
Q95TF6	FBgn0038429	CG14882
Q9VEV3	FBgn0038428	CG14894
Q8SZ16	FBgn0038437	Sdhaf3
Q9VEU2	FBgn0038438	Der-2
Q9VET3	FBgn0038446	CG14903
Q9VKF5	FBgn0032374	CG14931
Q9VKE7	FBgn0040968	CG14933
Q8IPA2	FBgn0032382	Mal-B2
Q9VKF2	FBgn0032377	CG14937
Q9VZQ7	FBgn0035439	CG14961
Q9VZT2	FBgn0035415	CG14966
Q95SH7	FBgn0035440	CG14969
Q9VZL6	FBgn0035469	CG14977
Q9VZL5	FBgn0035470	Ccz1
Q7YU93	FBgn0035482	CG14985
Q9VZF6	FBgn0035515	CG14997
A8JNK1	FBgn0264693	ens
Q9VZE2	FBgn0035528	CG15012
Q9VZD8	FBgn0035532	CG15014
Q9VZC8	FBgn0035541	CG15019
Q9VXY4	FBgn0030611	CG15027
Q9VWS7	FBgn0030938	CG15047
A1ZB61	FBgn0034331	BomBc2
Q9V8M5-1	unknown ID	-
Q4QQB9	FBgn0034398	CG15098
A1ZBE8	FBgn0034400	CG15099
A1ZBE9	FBgn0034401	MetRS
Q7JW01	FBgn0041702	CG15107
A8DYI9	FBgn0034418	CG15118
A1Z814	FBgn0033463	CG1513
Q9VJE3	FBgn0032635	CG15141
Q0E9E2	FBgn0027580	PCB
Q8SY12	FBgn0086909	CG31751
Q9VJ25	FBgn0032732	EMC5
Q9VRE0	FBgn0031149	Stt3A
Q95U01	FBgn0261641	CG42724
Q9VI14	FBgn0261641	CG42724
Q9VYW3	FBgn0266421	RPA3
Q4V665	FBgn0033104	CG15237
Q7KT76	FBgn0028879	CG15270
Q9V3Y7	FBgn0028526	CG15293
Q9W3M5	unknown ID	-
Q9W3M3	FBgn0260970	Ubr3
Q7K0S8	FBgn0031143	CG1532
Q9W3G8	FBgn0030029	CG15343
Q9VQ58	FBgn0031377	CG15356
Q9W370	FBgn0030105	CG15369
Q9VQ88	FBgn0040715	CG15386
A8DYT6	FBgn0031403	CG15387
Q8SXK0	FBgn0031419	CG15390
Q9V9Z9	FBgn0039828	CG1542
Q8T096	FBgn0031606	CG15439
Q8SXG7	FBgn0031607	Secp43
Q9VR04	FBgn0031609	CG15443
Q7KU53	unknown ID	-
Q7JVG6	FBgn0033225	TTLL12
Q9V9Z8	FBgn0039829	CG15561
Q9W4M4	FBgn0029697	CG15570
Q9VWB9	FBgn0031077	THADA
Q9W2M9	FBgn0034578	CG15653
Q8SYZ3	FBgn0036538	CG15715
Q9VYG8	FBgn0030451	CG15717
Q9VYX8	FBgn0030309	CG1572
Q9VYH8	FBgn0030438	CG15721
Q9VYK8	FBgn0030410	Aven
Q9VYR0	FBgn0030364	Lsm12a
Q9VYS4	FBgn0260780	wisp
Q9VYS5	FBgn0030352	sicily
Q9VYF2	FBgn0030465	CG15743
Q8MYY9	FBgn0030474	CG15747
Q9W3K4	FBgn0029999	CG1575
Q8MRI4	FBgn0030336	CG1578
Q9VZ55	FBgn0030246	CG1582
Q8IGA3	FBgn0035312	CG15820
Q7KTG2	FBgn0032136	Apoltp
Q9W019	FBgn0035337	CG15877
Q7KUT5	FBgn0036909	Ccdc58
Q9VY22	FBgn0030576	CG15890
Q5U1E0	FBgn0029858	mldr
Q4QPU3	FBgn0033085	CG15908
Q8SXX0	FBgn0030704	CG15916
Q8SWS2	FBgn0259143	CG42258
Q95R68	FBgn0030289	GCS1
Q7JWD3	FBgn0033191	CG1598
Q7JYX5	FBgn0266186	Vamp7
Q1LZ24	FBgn0033185	CG1603
A1Z6Z7	FBgn0033183	CG1620
Q8MR43	FBgn0030468	CG1622
Q7K568	FBgn0033448	hebe
Q95TK5	FBgn0039854	CG1635
Q9VZ56	FBgn0030245	CG1637
Q7KV27	FBgn0030478	CG1640
Q7KRW8	FBgn0039600	CG1646
A1Z7Z4	FBgn0033446	CG1648
Q9VZ08	FBgn0030286	Gapvd1
A1Z803	FBgn0033451	Marc
Q8MS65	FBgn0030816	CG16700
Q8SY86	FBgn0031558	CG16704
Q7JQT9	FBgn0033454	CG1671
Q9VQT8	FBgn0031561	IM33
Q9VQT7	FBgn0031560	CG16713
Q86PC6	FBgn0036028	CG16717
Q9W461	FBgn0029820	CG16721
Q9VYD5	FBgn0030482	CG1673
Q9VHG8	FBgn0037667	CG16734
A1ZBW7	FBgn0034529	FAM21
Q6NN40	FBgn0033457	Ntmt
Q8MYV4	FBgn0029941	CG1677
Q8SYW2	FBgn0034940	CG16787
Q9VHB3-1	unknown ID	-
Q7K2V9	FBgn0061359	CG33671
Q8MRM0	FBgn0030484	GstT4
Q9VK18	FBgn0032488	CG16812
Q9VH95	FBgn0037728	p23
Q86BP6	FBgn0036574	elg1
Q9V412	FBgn0028919	CG16865
Q9W351	FBgn0030122	Aladin
Q9VH80	FBgn0037741	CG16908
Q9W107	FBgn0035064	TyrRS-m
Q9V6U9	FBgn0033883	CG16935
Q9XYZ9	FBgn0027590	GstE12
Q8IRJ7	FBgn0035111	Dis3l2
Q9VEP9	FBgn0266917	Sf3a1
Q8T0R9	unknown ID	-
Q8SWW4	FBgn0032481	CG16972
Q95S21	FBgn0032479	CG16974
Q9VZZ6	FBgn0035355	CG16985
Q9VZZ5	FBgn0035356	CG16986
Q7KWG9	FBgn0039972	Marf1
Q8SZE4	FBgn0031117	GstT3
Q8MQQ7	FBgn0030321	CG1703
Q9VUV8	FBgn0036547	CG17032
Q9VUV7	FBgn0283649	elgi
Q9VRG6	FBgn0064116	anox
Q9VR81	FBgn0031099	CG17065
Q9VR80	FBgn0031098	CG17068
A1Z6X6	FBgn0283450	Glo1
Q9VPM7	FBgn0086855	CG17078
Q960T6	FBgn0036480	Cep135
Q0E9Q3	unknown ID	-
Q9VCR9	FBgn0039043	CG17121
Q9VKQ2	FBgn0032299	CG17127
Q9W5Q1	FBgn0039943	CG17168
Q7PLW5	FBgn0040514	CG17169
Q9VGQ8	FBgn0037884	Arfip
Q9VGR0	FBgn0037882	CG17187
Q9VG76	FBgn0038043	CG17202
A8JUY3	FBgn0030687	RpIIIC160
Q8SYR9	FBgn0031494	CG17219
Q8IPZ3	FBgn0031500	CG17221
Q7K4X4	FBgn0046225	CG17230
Q8IQV5	FBgn0036958	CG17233
Q9W0B6	FBgn0035249	CG17249
Q8MQI1	FBgn0261710	nocte
Q95TC0	FBgn0031497	SerRS
Q8SWZ2	FBgn0052521	CG32521
Q9VQL2	FBgn0031498	CG17260
Q4V5H1	FBgn0033089	CG17266
Q0KI39	FBgn0038829	CG17271
Q8MZH7	FBgn0038829	CG17271
Q9Y0Y2	FBgn0027493	AdSS
Q9VDE4	FBgn0038857	Bdbt
A1ZAR2	FBgn0034202	CG17287
Q9VLN1	FBgn0032030	Wdr82
Q9VLM6	FBgn0032034	Rcd4
Q9VJ46	FBgn0032713	Ugt36D1
Q9VJJ0	FBgn0032596	Prosbeta4
Q9VZ64	FBgn0030239	CG17333
Q8MT58	FBgn0259979	Cndp2
Q8MT77	FBgn0051793	CG31793
Q95RW5	FBgn0030293	CG1737
Q95RI7	FBgn0039977	CG17454
Q6NN09	FBgn0039830	ATPsynC
Q8SXX1	FBgn0039924	PIP4K
Q5LJP9	FBgn0032997	CG17486
Q8SYN2	unknown ID	-
Q5LJQ6	unknown ID	-
Q8SXJ8	FBgn0040010	CG17493
Q0E8L9	unknown ID	-
A1Z6G4	FBgn0039970	CG17508
B7YZT2	FBgn0039969	Fis1
Q7PLL6	FBgn0287182	l(3)80Fj
Q7PLI6	unknown ID	-
Q9VRD9	FBgn0031148	Cbs
Q95TH0	FBgn0032775	CG17544
Q0E8P1	FBgn0032774	CG17549
Q8SXY3	FBgn0038462	EMC2A
Q9VEV7	FBgn0038424	CG17565
Q8SZL8	FBgn0031544	CG17593
Q9VJ44	FBgn0032715	CG17597
Q9VR62	FBgn0031194	CG17598
Q9VQ40	FBgn0031361	CG17652
Q9VQ34	FBgn0031356	CG17660
Q7PLS7	unknown ID	-
Q5LJX0	unknown ID	-
Q7PLE6	FBgn0039993	CG17691
Q5LJP6	FBgn0040056	CG17698
Q95TP5	FBgn0031360	CG31937
Q9VGR2	FBgn0037880	CG17726
Q8INK7	FBgn0037890	CG17734
Q9VN58	FBgn0260794	ctrip
Q9VZS3	FBgn0035423	eIF1
Q9V9W4	FBgn0039856	CG1774
Q9VZS1	FBgn0035425	CG17746
Q7K0L2	FBgn0030114	CG17754
Q7K2L7	FBgn0033529	CG17765
Q8IGS9	unknown ID	-
Q9W513	FBgn0040899	CG17776
Q8T9A3	FBgn0034748	CG17807
A8JR54	FBgn0038826	Syp
Q9W3C2	FBgn0030061	CG1785
Q9W5H8	FBgn0040005	CG17883
Q9W3C0	FBgn0030063	CG1789
Q7KW39-1	unknown ID	-
Q9VJI9	FBgn0032597	CG17904
A8DZ09	FBgn0032600	BuGZ
Q9VEW2	FBgn0038421	CG17931
Q9W3J6	FBgn0030006	CG17982
Q7K4J7	FBgn0033199	CG17985
A1Z6K9	FBgn0033072	CG17994
Q8MSY9	FBgn0032595	CG17996
Q9VHH8	FBgn0037660	beag
Q9VEE9	FBgn0038552	Alg1
A1ZBU8	FBgn0034512	Bbd
Q9VUU7	FBgn0036537	CG18081
Q8MS30	FBgn0032082	CG18088
Q7K1T6	FBgn0032791	CG18094
Q86BI9	FBgn0036837	CG18135
A1Z7V8	FBgn0033426	CG1814
Q9VMY9	FBgn0261436	DhpD
Q95SC2	FBgn0260750	Mulk
Q9VT38	FBgn0036035	CG18178
A1ZAW9	FBgn0034255	Oxp
A1ZBF1	FBgn0034403	CG18190
Q86NX8	FBgn0038470	CG18213
Q9VYL5	FBgn0030403	CG1824
Q9W2S3	FBgn0030228	BTBD9
A1Z7W5	unknown ID	-
Q5BIL9	FBgn0033836	CG18278
Q8IGP5	FBgn0032979	Clamp
A1Z8T3	FBgn0033683	CG18343
Q9VGF7	FBgn0260743	GC1
Q9VYV3	FBgn0030329	prtp
O97172	FBgn0028746	CG18508
Q9VF53	FBgn0267408	AOX1
Q9VC87	FBgn0039189	CG18528
Q9VGF3	FBgn0037973	CG18547
Q9VRQ5	FBgn0035642	CG18586
Q9VLV5	FBgn0261790	SmE
Q9VD22	FBgn0038953	CG18596
Q9VE94	FBgn0038601	CG18600
Q9W3N7	FBgn0029971	ND-MNLL
Q9VLF6	FBgn0040964	CG18661
A1Z7W1	FBgn0033427	Smyd4-1
Q6NL44	FBgn0064126	CG33722
Q9I7N3	FBgn0042127	CG18789
Q9I7D3	FBgn0042134	Capr
Q7JUR6	FBgn0042135	Gdap2
Q9I7R0	FBgn0042138	CG18815
Q5U191	FBgn0033226	puml
Q9W3B3	FBgn0030066	Uros1
Q9I7L9	FBgn0042175	CG18858
Q8SWQ9	FBgn0042177	Arts
Q9V9U7	FBgn0039869	CG1890
Q7K1M4	FBgn0033434	CG1902
Q8SY41	FBgn0266019	rudhira
Q9VAJ9	FBgn0039674	CG1907
Q8SWY7	FBgn0037469	Dpck
Q9VI56	FBgn0037468	CG1943
Q8T487	FBgn0030370	Uch-L5R
Q9VAR0	FBgn0039623	CG1951
Q9V3D6	FBgn0027873	Cpsf100
Q9VIK6	FBgn0032876	Cen
Q9V564-1	unknown ID	-
Q9VAI0	FBgn0039690	Gnpnat
Q9V4E0	FBgn0039909	ND-49
Q9VAH9	FBgn0039691	IntS11
Q9VAH7	FBgn0260990	yata
Q9VA97	FBgn0039751	CG1983
Q8SYP2	FBgn0039886	CG2003
Q9W3C3	FBgn0030060	CG2004
Q8SX75	FBgn0039664	CG2006
Q9VAK5	FBgn0039669	ND-20L
Q9W087	FBgn0035271	CG2021
Q9VNI9	FBgn0037383	Sec20
Q5U158	FBgn0030344	Nrd1
Q9VNI4	FBgn0037378	PSMG1
Q0KIB3	FBgn0037376	Hat1
Q9W3R8	FBgn0029942	CG2059
Q9Y0Y7	FBgn0027498	CG2061
Q7K0K1	FBgn0033400	CG2063
Q9VZ34	FBgn0030263	CG2076
Q9VNH5	FBgn0037372	CG2091
A1Z713	FBgn0033194	Vps13
Q8MSU4	FBgn0037371	Sym
Q86P00	FBgn0037369	CG2100
Q8MQY1	FBgn0035383	CPT2
Q8I0S9	FBgn0039877	Mccc1
Q86CW0	FBgn0030217	CG2124
A1Z707	FBgn0033190	Gpo2
Q9W3H5	FBgn0030025	CG2147
Q7K0D8	FBgn0033264	Nup50
Q8MRH9	FBgn0035388	CG2162
B7Z040	unknown ID	-
Q9VNG1-1	unknown ID	-
Q7K5K0	FBgn0033273	Gasz
Q7K107	FBgn0037358	elm
Q9VZ60	FBgn0030243	CG2186
Q8IRH5	FBgn0035213	CG2199
Q9VYH3	FBgn0030447	CG2200
Q2PDP3	FBgn0032955	CG2201
Q9W0G6	FBgn0035210	msd5
Q9V4B2	FBgn0039889	Arl4
Q8T8R5	FBgn0039773	CG2224
Q9W3L4	FBgn0029990	CG2233
Q7KRU0	FBgn0039790	CG2246
Q9VYW5	FBgn0030320	CG2247
Q9W3K3	FBgn0030000	CG2260
Q9W3J5	FBgn0030007	alpha-PheRS
A4UZB1	FBgn0262169	magu
Q961B3	FBgn0035204	CG2277
Q7JZY1	FBgn0039665	CG2310
Q7JUN3	FBgn0039890	ABCD
Q9VYV4	FBgn0030328	Amun
Q7K0X3	FBgn0035205	Ctr9
Q961K0	unknown ID	-
Q9VIM0	FBgn0032864	CG2493
Q9VYK7	FBgn0030411	CG2540
Q8MRU3	FBgn0030407	Fpgs
Q9VYM2	FBgn0030396	CG2556
P08120	FBgn0000299	Col4a1
Q9VN86	FBgn0037298	Sccpdh1
Q9VIL2	FBgn0032870	CG2608
Q9VIL1	FBgn0032871	CG2611
Q9VIK9	FBgn0032873	CG2614
Q9VI70	FBgn0037478	CG2656
Q960Z7	unknown ID	-
Q7KSW1	FBgn0037541	CG2747
Q9W0X5	FBgn0035087	CG2765
B7Z0V3	unknown ID	-
Q8MS29	FBgn0031534	Snx1
Q8MS02	unknown ID	-
Q9VPR1	FBgn0031263	Tspo
Q8SYR7	FBgn0037533	CD98hc
Q8MYS6	FBgn0031265	CG2794
Q9VPR5	FBgn0031266	Sf3b1
Q9W1G4	FBgn0034931	CG2812
Q9VPR7	FBgn0031268	cold
Q8IQ03	FBgn0031566	CG2818
Q9W227	FBgn0034753	CG2852
Q86BQ4	FBgn0031459	HINT1
Q9W4R1	FBgn0029672	CG2875
Q8IGG7	FBgn0051548	CG31548
Q2XYG4	FBgn0037350	Dph4
Q0E9F9	FBgn0033241	CG2915
Q9W298	FBgn0034689	CG2921
Q9VND7	FBgn0037342	CG2931
Q9W4N9	FBgn0029686	Glos
Q95TQ6	FBgn0037530	EMC1
Q86DR2	unknown ID	-
Q8T3K9	FBgn0034936	Stoml2
Q8SWX1	FBgn0052685	ZAP3
Q9W2Y4	FBgn0030177	CG2972
Q9W2Y3	FBgn0030178	Naxe
Q9VR31	FBgn0031633	Fnta
Q7K4H4	FBgn0266570	NO66
Q86D36	FBgn0030170	CG2990
Q7K0B6	FBgn0050000	GstT1
A1Z7Z8	FBgn0050001	CG30001
A1Z817	unknown ID	-
Q8MKL1	FBgn0050010	CG30010
Q86PD3	FBgn0050022	CG30022
A1Z8N1	FBgn0050035	Tret1-1
Q9W328	FBgn0264691	Lst8
A1Z9M5	FBgn0050069	CG30069
Q9XZ34	FBgn0050085	Rif1
Q7JR99	FBgn0050094	CG30094
A1ZAW6	FBgn0050105	CG30105
Q9W457	FBgn0029823	Shmt
A8DYI2	FBgn0284257	Ttd14
A1ZBB4	FBgn0050122	CG30122
Q9V968	FBgn0034543	galla-1
Q9W462	FBgn0029819	Usp30
Q8MKK1	FBgn0050185	AIMP3
Q7JRH2	FBgn0261564	ReepA
Q7KVJ5	unknown ID	-
Q8MKJ5	FBgn0050197	CG30197
Q8MKK3	FBgn0050290	Ppcdc
Q95SK3	FBgn0050291	CG30291
Q961V1	FBgn0029818	GAA1
Q7JVL3	FBgn0050342	Prp38
A1Z7K2	FBgn0050349	CG30349
Q5U124	FBgn0050359	Mal-A5
A1Z7B8	FBgn0050373	CG30373
A1Z763	FBgn0050377	CG30377
A8DY62	FBgn0050381	PIG-X
B7YZM3	FBgn0261554	CG42672
Q0E901	FBgn0050389	CG30389
Q8MLW4	FBgn0050392	CG30392
Q9W3T9	FBgn0029925	CG3040
Q8MLS2	FBgn0050410	Rpi
Q0E8X7	FBgn0250838	roh
Q9W282	FBgn0034703	CG3045
Q7JUS1	FBgn0050491	CG30491
A8DY53	FBgn0263077	CG43340
Q7JRC9	FBgn0050496	CG30496
A1Z743	FBgn0286778	CG46385
Q7JX94	FBgn0050503	CG30503
Q9VFP0	FBgn0038195	CG3061
Q7JWQ7	FBgn0034709	Swim
Q9VQG1	FBgn0031457	Snx21
Q9VQI5	FBgn0051694	CG31694
Q86BR6	FBgn0039705	Atg16
B7Z0R2	FBgn0264324	spg
B7YZR1	unknown ID	-
Q9V9E3	FBgn0033005	CG3107
Q9VB96	FBgn0051075	CG31075
Q9VBY9	FBgn0051109	CG31109
Q9VGH7-1	unknown ID	-
Q9VC53	FBgn0051126	CG31126
Q95T19	FBgn0051133	Slimp
Q8SYR5	FBgn0047114	CG31142
A4VCL2	FBgn0051145	CG31145
Q59DV5	unknown ID	-
Q9VCX4	FBgn0051159	mRRF2
Q8IGW7	FBgn0051184	LSm3
Q8IN49	FBgn0051195	CG31195
Q8IN95	FBgn0051251	CG31251
Q9VGY2	FBgn0051278	CG31278
Q8INF7	FBgn0051320	HEATR2
Q8ING0	FBgn0051326	CG31326
Q8MZ28	FBgn0051360	CG31360
Q7KSN8	FBgn0051368	CG31368
Q8INL3	FBgn0051373	CG31373
Q8IMY4	FBgn0051413	Qsox4
Q8INQ7	FBgn0051460	CG31460
Q7KSW3	FBgn0051472	sgll
Q9VBX4	FBgn0051510	CG31510
Q0KIC3	FBgn0263346	smash
Q9W495	FBgn0029789	PGAP1
A8DYW2	FBgn0051635	CG31635
Q960W0	FBgn0051643	CG31643
Q9VMQ6	FBgn0051648	CG31648
Q9VQ14	FBgn0051661	CG31661
Q9VII9	FBgn0051673	CG31673
Q9W3W9	FBgn0029896	CG3168
Q8INV1	unknown ID	-
B7YZX9	FBgn0263355	CG31688
Q8T998	FBgn0031449	CG31689
Q8MYY7	FBgn0051715	CG31715
Q8IPB9	FBgn0051716	Cnot4
Q8T8T9	FBgn0051717	CG31717
Q9VK04	FBgn0051729	CG31729
Q8IGA9	unknown ID	-
Q0E8Q7	FBgn0028539	Eato
Q9VL52	FBgn0051755	SoYb
Q8T0G0	FBgn0051759	CG31759
Q7KT80	FBgn0051832	CG31832
Q9W3X3	FBgn0029892	CG3184
B7YZV0	FBgn0051869	CG31869
Q8IPG5	unknown ID	-
