# submitted_item	validated_id	current_symbol
Q9VH48	FBgn0037770	Art4
Q8MYV1	unknown ID	-
Q8SX32	FBgn0032329	Art8
Q9VTH1	FBgn0061469	Ube3a
Q9V464	FBgn0029094	asf1
Q8IMW1	unknown ID	-
Q9VNE4	FBgn0261004	asl
Q9VC45	FBgn0000140	asp
Q7KTW9	FBgn0270926	AsnS
Q9W1X9	FBgn0034793	asrij
Q9VPW1	FBgn0015905	ast
O96539-1	unknown ID	-
O96539-5	unknown ID	-
Q8MQJ7	FBgn0260945	Atg1
Q9VTU1	FBgn0036255	Atg12
Q9VSF0	FBgn0035850	Atg18a
Q9VPW2	FBgn0031298	Atg4a
Q9W3R7	FBgn0029943	Atg5
A1ZBA9	FBgn0034366	Atg7
Q9W2S2	FBgn0052672	Atg8a
Q2XY38	FBgn0034110	Atg9
Q9VC57	FBgn0039213	atl
Q9VN55	FBgn0010750	atms
Q9VYT4	FBgn0030343	ATP7
P13607-1	unknown ID	-
P13607-6	unknown ID	-
A1ZA78	unknown ID	-
B7YZH5	unknown ID	-
Q94516-1	unknown ID	-
Q05825	FBgn0010217	ATPsynbeta
Q24407	FBgn0016119	ATPsynCF6
Q24251	FBgn0016120	ATPsynD
O01666	FBgn0020235	ATPsyngamma
Q95NH6	FBgn0041579	AttC
Q94546	FBgn0019637	Atu
Q8SWR8-1	unknown ID	-
O76922	FBgn0000146	aub
Q27393	FBgn0000147	aurA
Q9VVS6	FBgn0036813	Atg3
Q8T0A7	FBgn0037218	aux
P08879	FBgn0000150	awd
O97132	FBgn0000152	Axs
P26686-1	unknown ID	-
Q9VLU0	FBgn0031977	baf
Q8SXY6	FBgn0045866	bai
Q95T92	FBgn0260960	Baldspot
Q7KRY6	FBgn0027889	ball
Q24253	FBgn0010380	AP-1-2beta
A1Z6M0	FBgn0042085	Bap170
Q7K012	FBgn0025716	Bap55
O76490	unknown ID	-
P91663	FBgn0014127	barr
O61348	FBgn0024251	bbx
Q27598	unknown ID	-
Q9Y171	FBgn0027615	OXA1L
Q9Y166	FBgn0027610	Dic1
Q9Y162	FBgn0283469	Vps4
Q9VXZ8	FBgn0027601	pdgy
Q9Y153	FBgn0027597	CG17712
Q7KK51	FBgn0028497	CG3530
Q7KMM4	FBgn0027588	GCS2alpha
Q9Y145	FBgn0027587	Prp4k
Q9VKG4	FBgn0028490	CG31705
Q9Y128	FBgn0027569	cert
Q7KMK9	FBgn0027568	Cand1
Q7KMK8	FBgn0027567	CG8108
Q9Y124	FBgn0027565	CG5498
Q9Y112	FBgn0027552	CG10863
Q9Y109	FBgn0027549	Nulp1
Q9Y102	FBgn0261258	rgn
Q9V3S7	FBgn0028480	CG17841
Q7KMI3	FBgn0027504	CG8878
Q9V415	FBgn0028475	Hrd3
Q9V3Y5	FBgn0028474	CG4119
Q9Y0Z1	FBgn0027503	CG11970
Q7KMH9	FBgn0027499	wde
Q9V3H9	FBgn0028471	Nab2
Q7KMH5	FBgn0027495	Smyd4-4
Q9U4F8	FBgn0028467	CG11070
Q9W0X8	FBgn0027599	CG2790
Q7YU85	FBgn0027598	cindr
Q8SZP3	unknown ID	-
Q8MSI5	FBgn0027582	CG6230
Q8I077	FBgn0028476	Usp1
O46096	FBgn0023507	D2hgdh
O46098	FBgn0013432	bcn92
Q9VHP0	FBgn0263231	bel
O76461	FBgn0025109	Bem46
P35128	FBgn0000173	ben
Q9VL69	FBgn0025700	CG5885
Q8MKK5	FBgn0261794	kcc
Q86P66	FBgn0025683	CG3164
Q6NR30	FBgn0028953	CG14478
Q8IGW4	FBgn0026147	TTLL4A
Q9VJ45	FBgn0027070	Ugt36E1
Q9W047	FBgn0026570	CG5704
Q7YU35	FBgn0035696	Best2
Q8I6J0	FBgn0039258	beta4GalT7
O62621	FBgn0025724	beta'COP
P45437	FBgn0008635	betaCOP
Q24172	FBgn0015000	betaggt-I
Q9XZ68	FBgn0028970	betaggt-II
Q00963	FBgn0250788	beta-Spec
Q24560	FBgn0284243	betaTub56D
P08841	FBgn0003888	betaTub60D
P61857	FBgn0003889	betaTub85D
Q8MST5	FBgn0003890	betaTub97EF
Q9V3N6	FBgn0028541	TM9SF4
Q7K028	FBgn0261881	l(2)35Be
Q9V3P2	FBgn0261535	l(2)34Fd
Q9VJL9	FBgn0028897	CG4935
Q9Y118	FBgn0283467	Pol32
Q9V3V9	FBgn0028515	EndoGI
Q9V3K7	FBgn0028507	CG3793
Q9V3B4	FBgn0038928	Fadd
Q9V3S9	FBgn0027348	bgm
Q7KM15	FBgn0000181	bic
Q24009	FBgn0000182	BicC
P16568	FBgn0000183	BicD
O16125	FBgn0014133	bif
Q9VEX9	FBgn0024491	Bin1
Q7K480	FBgn0263144	bin3
P25171	FBgn0002638	Rcc1
Q9VL75	FBgn0010520	Bka
A1ZBW0	FBgn0267791	HnRNP-K
Q9VF08	FBgn0038387	blp
Q8T9F2	unknown ID	-
P35381	FBgn0011211	blw
Q7K566	FBgn0036199	Bmcp
Q9VUH7	FBgn0036449	bmm
P29746	FBgn0001090	bnb
A1Z712	unknown ID	-
Q95RV5	FBgn0050499	Rpe
Q709R6	FBgn0037719	bocks
A8JUV7	FBgn0040388	boi
Q9U3Y7	FBgn0023097	bon
Q8WTC1	FBgn0026261	bonsai
Q7KJ37	FBgn0287225	bor
Q9VLD6-2	unknown ID	-
Q24206-1	unknown ID	-
Q8MQJ9	FBgn0010300	brat
Q2XY62	FBgn0039654	Brd8
Q9VRP9	FBgn0086694	Bre1
P25439-1	unknown ID	-
A8DY79	FBgn0259246	brp
Q0E8R3	FBgn0262475	bru2
Q8MS47	FBgn0266717	Bruce
Q8SX63	FBgn0011785	BRWD3
Q24535	FBgn0004101	bs
Q95NR4	FBgn0284256	bsf
Q7KTJ7	FBgn0261822	Bsg
P92208	FBgn0000229	bsk
Q9VYB0	FBgn0030501	BthD
P08630-1	unknown ID	-
Q7KRX5	FBgn0045862	btz
O76523	FBgn0025457	Bub3
A1Z6I7	FBgn0263855	BubR1
Q24523-1	unknown ID	-
Q8MSU9	unknown ID	-
P39736	FBgn0004856	Bx42
P51406	FBgn0010292	bys
Q8MRV6	FBgn0011566	Smyd3
Q9NHY0	FBgn0040236	c11.1
Q9V3B6	FBgn0040235	c12.1
Q9NHX8	FBgn0040234	c12.2
O77134	FBgn0038224	ATPsynE
Q8T9D9	FBgn0000247	ca
Q9V438	FBgn0025678	CaBP1
Q03017-1	unknown ID	-
Q8MRC3	FBgn0031114	cactin
Q8IGX4	FBgn0036715	Cad74A
Q9VGG5	FBgn0037963	Cad87A
Q4L2X0	FBgn0039709	Cad99C
Q24572	FBgn0263979	Caf1-55
A1Z898	FBgn0033526	Caf1-105
Q9VTU8	FBgn0027843	CAH2
Q24210-3	unknown ID	-
A8DYJ3	FBgn0012051	CalpA
Q11002-1	unknown ID	-
Q9VT65	FBgn0025866	CalpB
O18367	FBgn0013995	Calx
P62152	FBgn0000253	Cam
Q0KIF7	FBgn0016126	CaMKI
Q00168-1	unknown ID	-
Q00168-3	unknown ID	-
Q9NCF9	FBgn0040233	cana
P48456	FBgn0010015	CanA1
Q9VXF1	FBgn0267912	CanA-14F
Q24214	FBgn0015614	CanB2
Q24098	FBgn0015615	SMC3
P22700-1	unknown ID	-
Q9VAJ1	FBgn0039680	Cap-D2
Q7KN55	FBgn0261458	capt
A4V4S5	FBgn0000257	car
Q9Y1I2	FBgn0000257	car
Q9XZU1	FBgn0022213	Cse1
Q7JUP3	FBgn0034068	casp
P17336	FBgn0000261	Cat
Q7K485	FBgn0029093	cathD
Q9V3A4	FBgn0002022	Catsup
Q27294-1	unknown ID	-
